"Date","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"2021-01-07",85.8399963378906,87.2399978637695,84.5100021362305,85.129997253418,4227800,63.8133392333984
"2021-01-08",85.3399963378906,86.5,83.6999969482422,86.4899978637695,3692500,64.8327865600586
"2021-01-11",85.5400009155273,85.5999984741211,82.8499984741211,83.1399993896484,3988200,62.321647644043
"2021-01-12",83.8399963378906,85.9899978637695,83.2099990844727,85.4300003051758,4103400,64.0382308959961
"2021-01-13",85.4000015258789,89.2799987792969,85.4000015258789,88.870002746582,4295600,66.6168518066406
"2021-01-14",89.4199981689453,95.75,89.3099975585938,94.9499969482422,7465800,71.1744003295898
"2021-01-15",94,94.2399978637695,92.3300018310547,93,4006500,69.7126998901367
"2021-01-19",93.0999984741211,93.7799987792969,90.7399978637695,92.6699981689453,3094500,69.4653244018555
"2021-01-20",92.3300018310547,96.0100021362305,92.0199966430664,95.2900009155273,3904100,71.4292755126953
"2021-01-21",94.9899978637695,95.7600021362305,93.6999969482422,94.5100021362305,3059400,70.8445739746094
"2021-01-22",93,96,92.0500030517578,95.4899978637695,3692700,71.5791702270508
"2021-01-25",94.6600036621094,100.169998168945,94,97.4800033569336,5322700,73.0708770751953
"2021-01-26",98.5,99.6600036621094,96.6399993896484,99.0500030517578,3720100,74.2477722167969
"2021-01-27",98.2300033569336,103.5,96.0899963378906,96.6399993896484,5775900,72.4412307739258
"2021-01-28",97.2399978637695,99.0299987792969,96.6900024414062,97.5100021362305,3124700,73.0933837890625
"2021-01-29",97.1900024414062,97.8300018310547,92.1100006103516,92.9300003051758,4517400,69.6602172851562
"2021-02-01",93.4300003051758,93.5999984741211,90.5599975585938,92.9400024414062,3774100,69.6677093505859
"2021-02-02",94.1100006103516,94.1100006103516,91.3600006103516,92.4599990844727,2987200,69.3079147338867
"2021-02-03",92.3600006103516,93.75,91.0199966430664,93.379997253418,2986900,69.99755859375
"2021-02-04",93.379997253418,96.2399978637695,93.379997253418,95.1600036621094,2794000,71.3318405151367
"2021-02-05",96.4100036621094,97.9000015258789,95.9199981689453,96.75,2547700,72.523681640625
"2021-02-08",97.5999984741211,99.4700012207031,96.6600036621094,98.9400024414062,4464400,74.1653137207031
"2021-02-09",102.5,105.01000213623,101.349998474121,102.550003051758,6002200,76.8713607788086
"2021-02-10",104.389999389648,108.650001525879,103.099998474121,106.220001220703,4318300,79.6223754882812
"2021-02-11",108.150001525879,111.419998168945,107.25,109.269996643066,4696700,81.9086608886719
"2021-02-12",108.529998779297,110.639999389648,107.709999084473,109.26000213623,2264400,81.9011611938477
"2021-02-16",108.940002441406,111.419998168945,108.629997253418,109.980003356934,3719700,82.4408798217773
"2021-02-17",109.5,110.48999786377,107.099998474121,108.230003356934,2752700,81.1290893554688
"2021-02-18",107.389999389648,108.639999389648,105.720001220703,106.519996643066,3314300,79.8472595214844
"2021-02-19",107.419998168945,109.930000305176,106.699996948242,109.430000305176,3073300,82.0286102294922
"2021-02-22",108.930000305176,115.330001831055,108.930000305176,112.769996643066,4256300,84.5322647094727
"2021-02-23",115.379997253418,115.940002441406,110.059997558594,115.120002746582,4174400,86.293830871582
"2021-02-24",115.040000915527,121.129997253418,114.5,119,4698100,89.202278137207
"2021-02-25",119.849998474121,121.309997558594,113.650001525879,114.819999694824,4935000,86.0689239501953
"2021-02-26",113.870002746582,116.459999084473,111.26000213623,112.919998168945,3964400,84.6446914672852
"2021-03-01",116.199996948242,117.849998474121,113.839996337891,113.919998168945,3604600,85.3942947387695
"2021-03-02",113.839996337891,114.110000610352,111.339996337891,111.680000305176,3371900,83.715202331543
"2021-03-03",112.099998474121,115.730003356934,112.050003051758,113.98999786377,4274600,85.4467620849609
"2021-03-04",114.029998779297,115.160003662109,106.75,110.110000610352,5024200,82.5383148193359
"2021-03-05",111.559997558594,112.290000915527,104.120002746582,111.169998168945,4576600,83.332893371582
"2021-03-08",112.389999389648,114.970001220703,111.169998168945,111.699996948242,3387300,83.7301864624023
"2021-03-09",112.199996948242,112.75,108.709999084473,111,2863400,83.2054672241211
"2021-03-10",110.940002441406,114.930000305176,110.690002441406,114.309997558594,2989700,85.6866455078125
"2021-03-11",114.459999084473,117.019996643066,113.269996643066,115.839996337891,5177900,86.8335189819336
"2021-03-12",115.75,118.029998779297,115.599998474121,117.849998474121,2619900,88.3402099609375
"2021-03-15",118.150001525879,121.919998168945,116.849998474121,121.01000213623,3816100,90.7089462280273
"2021-03-16",121,121.110000610352,116.75,117.190002441406,3633300,87.8454742431641
"2021-03-17",116.819999694824,118.660003662109,116.459999084473,118.23999786377,2232400,88.6325378417969
"2021-03-18",117.639999389648,120.819999694824,115.629997253418,116.819999694824,6079000,87.5681228637695
"2021-03-19",117.209999084473,118.459999084473,114.110000610352,116.690002441406,4471200,87.4706726074219
"2021-03-22",116.51000213623,116.879997253418,113.839996337891,115.25,2725900,86.3912582397461
"2021-03-23",114.660003662109,114.959999084473,109.519996643066,110.410003662109,3682200,82.7632141113281
"2021-03-24",111.120002746582,114.279998779297,109.389999389648,109.400001525879,3428000,82.006103515625
"2021-03-25",107.809997558594,114.150001525879,106.680000305176,113.639999389648,3852100,85.1844100952148
"2021-03-26",114.699996948242,116.660003662109,112.209999084473,114.669998168945,2674100,85.9565124511719
"2021-03-29",114.410003662109,115.23999786377,110.959999084473,113.809997558594,3331400,85.3118286132812
"2021-03-30",113.980003356934,116.449996948242,113.699996948242,115.389999389648,2087800,86.4962005615234
"2021-03-31",114.610000610352,115.650001525879,113.470001220703,113.769996643066,2507100,85.281852722168
"2021-04-01",114.98999786377,115.349998474121,112.629997253418,115.199996948242,2858600,86.3537979125977
"2021-04-05",116,116,113.269996643066,115.050003051758,2911900,86.2413482666016
"2021-04-06",114.730003356934,116.860000610352,114.51000213623,116.48999786377,2500000,87.3207550048828
"2021-04-07",117.050003051758,117.709999084473,115.120002746582,117.01000213623,2541100,87.710563659668
"2021-04-08",115.059997558594,115.639999389648,113.610000610352,114.330001831055,2364300,86.6644821166992
"2021-04-09",114.690002441406,116.209999084473,114.040000915527,115.910003662109,1669900,87.8621673583984
"2021-04-12",116.410003662109,116.870002746582,113.440002441406,114.73999786377,2994200,86.9752883911133
"2021-04-13",113.699996948242,114.099998474121,111.300003051758,113.379997253418,3681700,85.9443664550781
"2021-04-14",113.709999084473,115.75,113.559997558594,113.76000213623,2657400,86.2324371337891
"2021-04-15",115,115.559997558594,113.620002746582,114.569999694824,2314100,86.8464202880859
"2021-04-16",116.51000213623,118.5,115.930000305176,117.120002746582,3249500,88.7793731689453
"2021-04-19",116.599998474121,116.889999389648,114.949996948242,116.559997558594,1753600,88.3548812866211
"2021-04-20",115.51000213623,116.419998168945,113.120002746582,114.26000213623,2180100,86.6114349365234
"2021-04-21",113.970001220703,117.900001525879,112.610000610352,117.629997253418,2467900,89.1659698486328
"2021-04-22",117.779998779297,119.059997558594,115.569999694824,115.650001525879,2591400,87.6650848388672
"2021-04-23",116.309997558594,117.120002746582,115.410003662109,116.919998168945,2348000,88.6277618408203
"2021-04-26",118.900001525879,121.699996948242,118.430000305176,120.169998168945,3268400,91.0913391113281
"2021-04-27",120.959999084473,123.300003051758,119.459999084473,122.360000610352,3301100,92.7513885498047
"2021-04-28",122.669998168945,125.419998168945,122.650001525879,123.099998474121,2297900,93.3123321533203
"2021-04-29",124.269996643066,125.550003051758,121.769996643066,123.330001831055,2281400,93.4866714477539
"2021-04-30",122.930000305176,123.099998474121,120.930000305176,121.73999786377,2751900,92.2814102172852
"2021-05-03",122.690002441406,123.830001831055,121.639999389648,123.199996948242,2627800,93.3881378173828
"2021-05-04",123.040000915527,123.959999084473,120.400001525879,121.360000610352,2730600,91.9933700561523
"2021-05-05",120.959999084473,122.650001525879,120.339996337891,120.919998168945,2454000,91.6598587036133
"2021-05-06",121.139999389648,122.980003356934,120.279998779297,122.919998168945,2044200,93.1758880615234
"2021-05-07",122.330001831055,125,121.800003051758,124.940002441406,2686000,94.7070770263672
"2021-05-10",125.98999786377,128.25,125.639999389648,126.75,5105100,96.0791015625
"2021-05-11",121.769996643066,123.970001220703,119.569999694824,122.639999389648,5664400,92.9636459350586
"2021-05-12",122.639999389648,123.360000610352,117.209999084473,117.620002746582,3294000,89.1583709716797
"2021-05-13",117.620002746582,121.309997558594,116.529998779297,117.98999786377,3583900,89.4388427734375
"2021-05-14",118.75,122.949996948242,118.75,122.180000305176,2477500,92.6149520874023
"2021-05-17",122,123.180000305176,121.209999084473,122.23999786377,1609700,92.6604309082031
"2021-05-18",122.01000213623,123.849998474121,120.720001220703,122.569999694824,2552300,92.9105758666992
"2021-05-19",120.150001525879,122.319999694824,118.410003662109,122.269996643066,2048800,92.6831588745117
"2021-05-20",122.029998779297,123.089996337891,120.75,122.569999694824,1669800,92.9105758666992
